Equatorial Guinea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.30,0.30,0.56,0.56,0.56,0.56,0.56,0.80,1.11,1.10,1.28,1.76,1.80,1.75,1.71,1.71,1.71,1.71,1.71,1.71,1.71
Gabon,0.47,0.46,0.48,0.55,0.62,0.66,0.65,0.96,0.93,0.96,0.86,0.88,0.77,0.66,1.40,1.47,2.80,2.67,2.57,2.57,2.42,2.40,2.37,2.29,2.19,2.15,2.15,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Libya,20.33,22.60,22.19,21.78,21.42,21.30,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,22.80,29.50,29.50,29.50,29.50,29.50,36.00,36.00,36.00,39.13,39.13,41.46,41.46,43.66,44.27,46.42,47.10,48.01,48.47,48.47
Nigeria,16.70,16.50,16.75,16.55,16.65,16.60,16.07,15.98,16.00,16.00,17.10,20.00,20.99,20.99,20.99,20.83,20.83,20.83,22.50,29.00,29.00,31.51,34.35,35.26,35.88,36.22,37.20,37.20,37.20,37.20,37.20,37.20,37.14,37.14
South Sudan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,3.50
Sudan,0.00,0.20,0.40,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.26,0.26,0.26,0.26,0.56,0.56,0.56,0.56,0.56,5.00,5.00,5.00,5.00,5.00,5.00,1.50,1.50
Tunisia,2.18,2.49,2.45,2.52,1.82,1.78,1.75,1.73,1.79,1.80,1.74,0.40,0.47,0.37,0.34,0.38,0.34,0.31,0.29,0.31,0.43,0.53,0.50,0.65,0.68,0.56,0.60,0.60,0.58,0.43,0.43,0.43,0.43,0.43
Australia,2.12,2.62,2.93,2.49,2.56,2.46,2.87,2.91,3.19,3.10,3.16,3.23,3.22,3.26,3.82,3.80,3.82,4.04,4.77,4.74,4.94,4.96,4.57,3.75,3.89,3.72,3.51,3.43,4.24,4.06,3.83,3.87,3.92,3.96
Brunei,1.29,1.50,1.45,1.53,1.47,1.44,1.48,1.60,1.20,1.15,1.12,1.15,1.13,1.25,1.19,1.12,1.09,1.06,1.02,1.30,1.23,1.16,1.10,1.05,1.12,1.11,1.20,1.08,1.08,1.10,1.10,1.10,1.10,1.10
China,13.35,13.29,13.26,14.88,16.36,17.09,17.16,17.42,17.28,16.06,16.02,15.51,15.19,16.44,16.26,16.36,16.44,17.02,17.42,15.11,15.19,15.41,15.51,15.48,15.53,15.59,15.61,15.49,15.61,15.86,17.30,17.80,18.08,18.08
India,2.76,3.48,3.50,3.62,3.76,3.76,4.64,4.42,4.46,4.35,5.56,6.13,5.91,5.86,5.81,5.51,5.49,5.63,5.39,4.97,5.29,5.51,5.58,5.73,5.57,5.92,5.69,5.46,5.80,5.82,5.83,5.70,5.72,5.71
Indonesia,11.60,11.02,10.53,10.08,9.61,9.18,9.00,9.00,9.00,5.11,5.41,5.91,5.60,5.17,4.98,4.98,4.73,4.87,5.10,5.20,5.12,5.10,4.72,4.73,4.30,4.19,4.37,3.99,3.75,4.30,4.23,3.74,3.74,3.74
Malaysia,1.80,2.30,2.57,2.57,2.90,3.50,3.53,3.32,3.38,3.67,3.56,3.70,5.09,4.96,5.20,5.20,4.96,4.98,4.65,5.03,4.53,4.46,4.54,4.84,5.16,5.25,5.36,5.46,5.52,3.57,3.74,3.74,3.67,3.67
Thailand,0.00,0.02,0.03,0.03,0.06,0.11,0.10,0.10,0.10,0.23,0.26,0.22,0.18,0.22,0.23,0.30,0.24,0.30,0.39,0.36,0.51,0.58,0.69,0.50,0.53,0.45,0.46,0.46,0.45,0.44,0.44,0.45,0.43,0.43
Vietnam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.11,0.20,0.24,0.35,0.60,0.64,0.76,0.89,1.25,1.90,1.80,1.95,2.20,2.81,2.96,3.08,3.12,3.25,3.41,4.73,4.50,4.40,4.40,4.40,4.40
